data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
9070,What does this person prepare for?,"What does this person prepare for?
A. sale
B. parade
C. bathing contest
D. dinner

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. There is no,parade,B,B
164,What is this man doing?,"What is this man doing?
A. is resting
B. is surfing
C. watching movie
D. driving bike

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,is resting,A,A
2025,What company is on the t-shirt on the right?,"What company is on the t-shirt on the right?
A. microsoft
B. google
C. facebook
D. amazon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. The autonomme,google,B,B
551,What's the name for the trippy picture behind the woman?,"What's the name for the trippy picture behind the woman?
A. optical illusion
B. sight gag
C. mind poster
D. visual puzzle

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofodefs,optical illusion,A,A
12126,What fun activity is shown?,"What fun activity is shown?
A. free fall
B. rollar coaster
C. bumper cars
D. skiing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Free fortunet,skiing,D,A
9893,What is the pattern on the drapes?,"What is the pattern on the drapes?
A. dots
B. stars
C. circles
D. floral

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", Aidating the neighblish,floral,D,A
11611,Why the umbrella on a sunny day?,"Why the umbrella on a sunny day?
A. it's new
B. hiding
C. prank
D. block sun

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,block sun,D,A
6670,What type of building is this?,"What type of building is this?
A. apartment
B. filling station
C. house
D. hospital

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,apartment,A,B
7404,Who has right of way here?,"Who has right of way here?
A. dogs
B. bus
C. taxi
D. pedestrians

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers hereticar,pedestrians,D,A
269,These boats are most likely in what kind of place?,"These boats are most likely in what kind of place?
A. marina
B. ocean
C. lake
D. river

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Morath cryst,marina,A,A
217,What is on the top of the building?,"What is on the top of the building?
A. cross
B. human
C. weathervane
D. bird

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,cross,A,A
5848,What type of trees can be seen near the pink building?,"What type of trees can be seen near the pink building?
A. maple trees
B. pine trees
C. elm trees
D. palm trees

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of type ',palm trees,D,A
9956,What sort of cuisine is the diner enjoying?,"What sort of cuisine is the diner enjoying?
A. chinese
B. fast food
C. soul food
D. mexican

(You must answer with only the letter enclosed in curly bracket, e.g. {A})"," A response of type ""[",chinese,A,A
886,Where is the dog staying under?,"Where is the dog staying under?
A. bed
B. table
C. island
D. cabinet

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,table,B,A
9612,What describes the situation most accurately about the closest plate?,"What describes the situation most accurately about the closest plate?
A. broken
B. half full
C. full
D. empty

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. of neighb,half full,B,C
11903,The dog in the image belongs to which breed?,"The dog in the image belongs to which breed?
A. shelties
B. gray ghost
C. poodle
D. retriever

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","oriously speaking, this particular",shelties,A,B
5567,What type of action is allowed by the traffic light?,"What type of action is allowed by the traffic light?
A. straight travel
B. left turn
C. pedestrian crossing
D. right turn

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response heretics the,left turn,B,A
6220,What does the word on the plane mean?,"What does the word on the plane mean?
A. anger
B. happiness
C. retribution
D. trust

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,retribution,C,A
265,What is the highest object in the room?,"What is the highest object in the room?
A. couch
B. hanging light
C. dog bed
D. table

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The tallest thing,hanging light,B,A
14315,What is drizzled over the cake?,"What is drizzled over the cake?
A. fudge
B. cream cheese
C. water
D. oil

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,fudge,A,A
2258,What is the cover on the back of the truck called?,"What is the cover on the back of the truck called?
A. blanket
B. tarp
C. hood
D. tonneau cover

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofodefs,tonneau cover,D,A
984,What is the metal item used as a handbag?,"What is the metal item used as a handbag?
A. peppermill
B. sifter
C. blender
D. cheese grater

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,cheese grater,D,A
13068,What is the speed limit on this stretch of road?,"What is the speed limit on this stretch of road?
A. 30
B. 45
C. 35
D. 25

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here would be,25,D,A
5697,What color are most of the post-it notes?,"What color are most of the post-it notes?
A. red
B. orange
C. blue
D. green

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,green,D,A
5451,Who is the man up to bat?,"Who is the man up to bat?
A. reggie jackson
B. derek jeter
C. alexa rodriguez
D. mariano rivera

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Associated withoriously Associated,derek jeter,B,A
2280,What does the brownish green stuff bring to the beach?,"What does the brownish green stuff bring to the beach?
A. unwanted trash
B. minerals
C. fish
D. salt

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,unwanted trash,A,A
16417,What would you use to eat the food in the bowl?,"What would you use to eat the food in the bowl?
A. spoon
B. chopsticks
C. fork
D. knife

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form the above,spoon,A,A
720,What action did the girl take?,"What action did the girl take?
A. throw
B. fall
C. roll
D. jump

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of autonoms,throw,A,A
7349,This bus belongs to which state?,"This bus belongs to which state?
A. delhi
B. kerala
C. punjab
D. karnataka

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers here but answer,kerala,B,A
3174,In what setting is the girl atop the horse?,"In what setting is the girl atop the horse?
A. ranch
B. skating rink
C. parking lot
D. mall

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A.rencealis,ranch,A,A
14527,What is typically found on the place where the potted plant is resting on?,"What is typically found on the place where the potted plant is resting on?
A. car battery
B. cutting board
C. tiger
D. laptop

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here would need,cutting board,B,A
13355,Which side is in the lead in this match thus far?,"Which side is in the lead in this match thus far?
A. neither
B. guest
C. tied
D. home

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyjoice_ phr_,home,D,A
2770,What is the man wearing black underwear laying on?,"What is the man wearing black underwear laying on?
A. table
B. bed
C. chair
D. floor

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. The autonomom,bed,B,B
3649,How would people get out if there was a fire?,"How would people get out if there was a fire?
A. emergency door
B. open entryway
C. trap door
D. open window

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A.   ,emergency door,A,A
15243,What are the birds doing near the edge of the water?,"What are the birds doing near the edge of the water?
A. swimming
B. flying
C. diving
D. walking

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,walking,D,A
15129,What color is the home team of this match?,"What color is the home team of this match?
A. blue
B. dark gray
C. navy
D. red

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,red,D,A
14265,Where are these animals?,"Where are these animals?
A. zoo
B. plains
C. veterinarian
D. serengetti

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,zoo,A,A
380,What is in the plastic bag?,"What is in the plastic bag?
A. groceries
B. recycling
C. cleaning supplies
D. dirty clothes

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of autonoms,cleaning supplies,C,A
4941,Who are the street signs for?,"Who are the street signs for?
A. drivers
B. directions
C. downtown
D. pedestrians

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B of autonoms,drivers,A,B
5605,What is the yellow object on the sidewalk connected to?,"What is the yellow object on the sidewalk connected to?
A. wall
B. water lines
C. mayor
D. police

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of neighbir,water lines,B,A
9253,What kind of action is the boy taking?,"What kind of action is the boy taking?
A. typing
B. throwing
C. running
D. kicking

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Norderedar human,typing,A,A
15969,What is behind the person with the number 44 on their shirt?,"What is behind the person with the number 44 on their shirt?
A. antelope
B. baby
C. glove
D. hot dog

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of autonoms,glove,C,C
17035,What is on the table to the left?,"What is on the table to the left?
A. dog
B. chicken leg
C. wine bottles
D. cat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. injustiilar,wine bottles,C,C
13897,These women enjoy what sport as referred to by it's European moniker?,"These women enjoy what sport as referred to by it's European moniker?
A. rugby
B. darts
C. football
D. american football

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,football,C,A
14896,How many towers are on the top of the clock tower with a black clock face?,"How many towers are on the top of the clock tower with a black clock face?
A. four
B. two
C. three
D. five

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or other,five,D,A
6980,What could possibly be casting the long shadow?,"What could possibly be casting the long shadow?
A. snake
B. airplane
C. lamp post
D. car

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,lamp post,C,A
669,What did the man on the sidewalk most likely just do?,"What did the man on the sidewalk most likely just do?
A. shop
B. shower
C. steal
D. exercise

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of neighbir,shop,A,A
8304,What is the woman in the costume depicted as?,"What is the woman in the costume depicted as?
A. waiter
B. maid
C. alice
D. goth

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,maid,B,A
12588,If there more than one direction for the street up ahead?,"If there more than one direction for the street up ahead?
A. yes
B. maybe
C. unsure
D. no

(You must answer with only the letter enclosed in curly bracket, e.g. {A})"," A. yes

",no,D,A
10594,What animal is on top of the books?,"What animal is on top of the books?
A. bird
B. no animal
C. chameleon
D. dog

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofodefs,bird,A,A
7783,Where does the man holding the bat want the ball to go?,"Where does the man holding the bat want the ball to go?
A. in pocket
B. straight up
C. backwards
D. forward

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answer choices here but,forward,D,A
8917,All riders rely on each other to safely ride at the same what?,"All riders rely on each other to safely ride at the same what?
A. hour
B. level
C. speed
D. house

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ encomp_ taxpay,speed,C,A
6998,What's the name for the kind of area the skiers are using?,"What's the name for the kind of area the skiers are using?
A. full pipe
B. half pipe
C. mega pit
D. drop zone

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,half pipe,B,A
4692,The sculpture in front of the building is modeled after what common object found on a sidewalk?,"The sculpture in front of the building is modeled after what common object found on a sidewalk?
A. fire hydrant
B. newspaper box
C. parking meter
D. garbage can

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form this question,fire hydrant,A,A
9866,Who is the man crouched behind the catcher?,"Who is the man crouched behind the catcher?
A. umpire
B. coach
C. batter
D. announcer

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here would be,umpire,A,A
6722,What is normally given out at the desk shown?,"What is normally given out at the desk shown?
A. masks
B. hats
C. information
D. cats

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","C ofadays,",information,C,C
2622,Which one of these cities is closest to their location?,"Which one of these cities is closest to their location?
A. sacramento
B. detroit
C. philadelphia
D. hartford

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Associated with neighbert,detroit,B,A
10758,What material is this statue made of?,"What material is this statue made of?
A. metal
B. wood
C. clay
D. pic

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option (swers,metal,A,A
1291,What are the vehicles getting onto?,"What are the vehicles getting onto?
A. parking lot
B. dock
C. street
D. boat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form this question,boat,D,A
9116,Which type of weather event is most likely to happen immediately after this photo takes place?,"Which type of weather event is most likely to happen immediately after this photo takes place?
A. hurricane
B. overcast weather
C. snow
D. hail

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. Annumerableitous,overcast weather,B,B
16869,What color is the snow machine on the right hand side?,"What color is the snow machine on the right hand side?
A. green
B. yellow
C. red
D. blue

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,blue,D,A
440,Where does the black and silver item in the middle compartment belong?,"Where does the black and silver item in the middle compartment belong?
A. ankle
B. neck
C. wrist
D. waist

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here but not,wrist,C,A
5769,What is this area for?,"What is this area for?
A. claiming baggage
B. boarding flight
C. waiting
D. security

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A of course,",claiming baggage,A,A
6252,During which season is this train transporting open-top hoppers?,"During which season is this train transporting open-top hoppers?
A. summer
B. winter
C. fall
D. spring

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,fall,C,A
1133,What is holding the candles?,"What is holding the candles?
A. spinner
B. candelabra
C. handle
D. silver stand

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofcludes the,candelabra,B,A
1361,What might he have applied before going out there?,"What might he have applied before going out there?
A. hairspray
B. lipstick
C. sunscreen
D. foundation

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.   ,sunscreen,C,C
9101,What material is the sink made of?,"What material is the sink made of?
A. stainless steel
B. wood
C. plastic
D. porcelain

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,stainless steel,A,A
133,Where has most of her weight been shifted?,"Where has most of her weight been shifted?
A. biceps
B. calves
C. wrists
D. quads

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,quads,D,A
3276,When was baseball invented?,"When was baseball invented?
A. 1884
B. 1812
C. 1839
D. 1891

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Associated with ancesti,1839,C,A
16492,What song mentions the item that is surrounding the bikes?,"What song mentions the item that is surrounding the bikes?
A. rotten apple
B. mystery box
C. bat dance
D. in chains

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. rotten_ encomp,in chains,D,A
5175,What type of phone is available?,"What type of phone is available?
A. cellular
B. landline
C. pay
D. cordless

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,landline,B,A
3774,Why is there so much spray in the air?,"Why is there so much spray in the air?
A. ducks
B. waterfall nearby
C. violent fisherman
D. bridge collapsing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will be,waterfall nearby,B,A
16697,How many exhaust pipes extend out the sides of the big semi truck above?,"How many exhaust pipes extend out the sides of the big semi truck above?
A. five
B. seven
C. two
D. three

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,two,C,A
2846,What kind of water is shown here?,"What kind of water is shown here?
A. pool
B. ocean
C. swamp
D. pond

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form this question,pond,D,A
11377,What is the object on the stand next to the brown sofa?,"What is the object on the stand next to the brown sofa?
A. speaker
B. table
C. shelf
D. plant pot

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will need,speaker,A,A
16216,Who served in the branch of the military whose name appears on the vehicle?,"Who served in the branch of the military whose name appears on the vehicle?
A. sergeant slaughter
B. captain kidd
C. lieutenant green
D. jimmy carter

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,jimmy carter,D,A
6618,What is this player getting ready to do?,"What is this player getting ready to do?
A. swing
B. dunk
C. throw
D. dribble

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A ofadays,",swing,A,A
12138,Where are these 3 kids most likely from?,"Where are these 3 kids most likely from?
A. same mother
B. different countries
C. nigeria
D. china

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerablechoice answer choice answers,same mother,A,B
5230,What category of animal is their mascot in?,"What category of animal is their mascot in?
A. snake
B. cat
C. bird
D. dog

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,bird,C,A
4539,What kind of chopper is this?,"What kind of chopper is this?
A. cargo
B. attack
C. medical
D. law enforcement

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The autonomom,medical,C,C
11583,What type of event is highly likely to happen at this intersection?,"What type of event is highly likely to happen at this intersection?
A. car meet
B. car crash
C. car race
D. parade

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Sh contentment.,car crash,B,A
15924,How many park benches line the plaza that is closed off to traffic?,"How many park benches line the plaza that is closed off to traffic?
A. four
B. two
C. one
D. five

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of four or,five,D,A
4781,What type of animal is the middle toy the child is holding?,"What type of animal is the middle toy the child is holding?
A. pig
B. donkey
C. tiger
D. bear

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here would need,donkey,B,A
4916,Which direction does branch street run?,"Which direction does branch street run?
A. one way
B. east-west
C. north-south
D. sideways

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answer choice (...),north-south,C,A
2175,What is the species of the item wearing yellow farthest to the left and on top of the blue board?,"What is the species of the item wearing yellow farthest to the left and on top of the blue board?
A. cardboard
B. plant
C. vegetable
D. homo sapien

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will need,homo sapien,D,A
1695,What kind of scale is used here?,"What kind of scale is used here?
A. potted
B. balance
C. virtual
D. accuracy

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B Shsputan,balance,B,B
12308,What is the most likely reason for the dogs to be in this yard?,"What is the most likely reason for the dogs to be in this yard?
A. work dogs
B. pets
C. guard dogs
D. strays

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,pets,B,A
1610,What action are they taking?,"What action are they taking?
A. stop
B. descend
C. strike
D. ascend

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of societi,descend,B,A
12222,What is unusual about the soccer ball being held up by the girl in black and gray striped shirt?,"What is unusual about the soccer ball being held up by the girl in black and gray striped shirt?
A. it's overblown
B. it's larger
C. it's airless
D. nothing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,it's airless,C,A
13559,What color vest does the person batting next wear?,"What color vest does the person batting next wear?
A. red
B. green
C. black
D. white

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will need,black,C,A
11862,How many people shown here belong to the same sports team?,"How many people shown here belong to the same sports team?
A. four
B. three
C. two
D. five

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","C ofadays,",two,C,C
12948,What surface is the woman playing tennis on?,"What surface is the woman playing tennis on?
A. hard
B. clay
C. grass
D. carpet

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Hardcore.,hard,A,A
2166,What could the style of this room be considered?,"What could the style of this room be considered?
A. modern
B. victorian
C. art deco
D. industrial

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. of autonom,victorian,B,A
1310,What will happen if someone leaves their vehicle in front of this sign?,"What will happen if someone leaves their vehicle in front of this sign?
A. arrested
B. stolen
C. towed
D. ticketed

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of either imprison,towed,C,A
9111,What is he doing?,"What is he doing?
A. packing up
B. resting
C. eating lunch
D. painting train

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","D ofadays,",packing up,A,D
1355,What is the bench covered in?,"What is the bench covered in?
A. mud
B. moss
C. vines
D. animals

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of neighbir,moss,B,C
11400,Who is this lady likely to be?,"Who is this lady likely to be?
A. resident
B. policewoman
C. tourist
D. car driver

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable. but heretic,tourist,C,A
4091,What network is being shown on the television?,"What network is being shown on the television?
A. nbc
B. cbs
C. abc
D. fx

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,nbc,A,A
5487,What typically pours out of the brown dispenser mill near the stove?,"What typically pours out of the brown dispenser mill near the stove?
A. hot sauce
B. blue cheese
C. pepper
D. lemon juice

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answer choices here but,pepper,C,A
11257,What are the round things on the outer edge?,"What are the round things on the outer edge?
A. garbanzo beans
B. peas
C. olives
D. cheese balls

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of Consuming or,garbanzo beans,A,A
2389,What is the piece of equipment on the left side of the desk used for?,"What is the piece of equipment on the left side of the desk used for?
A. faxing
B. hard drive
C. printing
D. copier

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","C of course,",printing,C,C
12867,What is this plane called?,"What is this plane called?
A. seaplane
B. lear jet
C. fighter
D. helicopter

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A )numerable_ encomp,seaplane,A,A
3370,The greeting at the top is synonymous with what country?,"The greeting at the top is synonymous with what country?
A. belgium
B. curacao
C. tanzania
D. philippines

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Yours! enriche,philippines,D,A
6253,Which one of these company logos is partially obscured?,"Which one of these company logos is partially obscured?
A. nesquik
B. nescafe
C. nestle
D. nespresso

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyjoice.png,nescafe,B,A
16571,How many sail posts are on the back of this historic sailing ship?,"How many sail posts are on the back of this historic sailing ship?
A. four
B. three
C. five
D. two

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of four or,three,B,A
6921,Why are her eyes red?,"Why are her eyes red?
A. camera filter
B. reflected light
C. birth defect
D. contact lenses

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,reflected light,B,A
4800,What is the man in the suit and hat doing?,"What is the man in the suit and hat doing?
A. comic relief
B. dancing
C. judging horses
D. lookalike contest

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,judging horses,C,A
15100,What phrase is most appropriate?,"What phrase is most appropriate?
A. airplane race
B. conflagration
C. downpour
D. earthquake

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.   ,downpour,C,C
4713,What does the woman standing want to take here?,"What does the woman standing want to take here?
A. picture
B. pulse
C. dinner
D. statue

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D of autonoms,picture,A,D
13163,What material is the shield on the woman's face made of?,"What material is the shield on the woman's face made of?
A. metal
B. carbon fiber
C. wood
D. plastic

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of choice rather,metal,A,A
651,What are the kites here meant to resemble?,"What are the kites here meant to resemble?
A. dogs
B. cats
C. martians
D. sea creatures

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D of autonoms,sea creatures,D,D
11743,What language is shown on the banner?,"What language is shown on the banner?
A. german
B. chinese
C. italian
D. spanish

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyrealss response,spanish,D,A
3344,What animal are these?,"What animal are these?
A. cow
B. horse
C. donkey
D. goat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,cow,A,A
15302,Who is attempting to tag the runner?,"Who is attempting to tag the runner?
A. keith davis
B. david chokachi
C. david wright
D. larry david

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,david wright,C,A
5674,What general term can we give to the type of meal above?,"What general term can we give to the type of meal above?
A. drinks
B. beverages
C. fruit salad
D. appetizer

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of neighbir,fruit salad,C,C
15288,What company makes the roll in the room?,"What company makes the roll in the room?
A. jameson
B. charmin
C. tootsie roll
D. kraft

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answer choice but answer,charmin,B,A
14131,What is next to the birds?,"What is next to the birds?
A. zebra
B. beach ball
C. baby shark
D. giraffe

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. zebra of,giraffe,D,A
1108,What is the bottom signal on the light?,"What is the bottom signal on the light?
A. heart
B. cow
C. egg
D. star

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will be,star,D,A
16215,What is the cat near?,"What is the cat near?
A. knives
B. spoons
C. boxes
D. apples

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Proponents of this,knives,A,A
14467,How many little elephants are around the tree with their families?,"How many little elephants are around the tree with their families?
A. four
B. three
C. five
D. two

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or other,two,D,A
11110,What gasoline powers this train?,"What gasoline powers this train?
A. coal
B. unleaded
C. diesel
D. regular

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. diesel. The,diesel,C,C
8078,Why is she holding the racquet behind her?,"Why is she holding the racquet behind her?
A. hiding it
B. keep sage
C. hit ball
D. wants scare

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers here but answer,hit ball,C,A
9791,The bumpy yellow tile behind the stop sign is part of what infrastructure feature?,"The bumpy yellow tile behind the stop sign is part of what infrastructure feature?
A. bus stop
B. sidewalk
C. breakdown lane
D. pedestrian crossing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofcludes the,sidewalk,B,A
15991,What type of meat is in the sandwiches at the left hand side of the table?,"What type of meat is in the sandwiches at the left hand side of the table?
A. beef
B. turkey
C. chicken
D. roast beef

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,roast beef,D,A
