data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
6345,What is she putting on the bun?,"What is she putting on the bun?
A. apron
B. cap
C. condiments
D. weiner

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,condiments,C,C,1,7,56.86,97.11,1,,7,14.29,85.71,71.43,71.43,28.57,14.29,0,0,0,14.29,0,14.29,14.29,14.29,0,14.29,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
4377,What protein is in this dish?,"What protein is in this dish?
A. beef
B. venison
C. bison
D. chicken

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,chicken,D,D,1,6,10.19,,39.59,,6,16.67,83.33,66.67,66.67,33.33,0,0,0,0,0,0,33.33,16.67,0,0,16.67,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
15194,How many potatoes around on the blue plate?,"How many potatoes around on the blue plate?
A. one
B. four
C. two
D. three

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,three,D,B,1,8,98.55,,89.39,,8,12.5,87.5,75,62.5,0,0,0,0,0,0,0,0,25,12.5,0,25,0,25,0,0,0,25,12.5,0,0,0,0,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
14388,What kind of animal is advertised on the bottom of the referee post?,"What kind of animal is advertised on the bottom of the referee post?
A. cat
B. gator
C. frog
D. bird

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,gator,B,B,1,13,99,7.93,30.98,,13,15.38,69.23,69.23,61.54,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,30.77,7.69,0,0,0,7.69,7.69,0,0,0,0,0,23.08,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
3755,What is the term used to call this group of horses?,"What is the term used to call this group of horses?
A. stampede
B. herd
C. wave
D. slide

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,herd,B,B,1,11,89.52,86.82,5.07,,11,0,90.91,63.64,54.55,18.18,0,0,0,0,0,0,18.18,18.18,9.09,0,18.18,9.09,0,0,0,18.18,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
9123,What might ruin the day of people shown here?,"What might ruin the day of people shown here?
A. hot weather
B. freezing cold
C. snow
D. nothing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,hot weather,A,B,1,9,66.04,92.24,77.17,,9,0,77.78,66.67,55.56,11.11,0,0,0,0,0,0,11.11,11.11,11.11,0,11.11,11.11,11.11,0,0,11.11,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,11.11,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
15818,Based on what's shown on the computer screen what is this person doing?,"Based on what's shown on the computer screen what is this person doing?
A. writing fiction
B. shopping list
C. programming
D. gaming

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,programming,C,C,1,13,31.07,81.78,,,13,7.69,84.62,69.23,61.54,23.08,0,0,0,0,0,0,23.08,15.38,7.69,0,15.38,23.08,0,0,0,30.77,0,0,0,0,0,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,7.69,0,0,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,15.38,0,0,7.69,0,7.69,0,0
1165,Which country is famous for elephants?,"Which country is famous for elephants?
A. norway
B. sydney
C. thailand
D. dutch

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,thailand,C,C,1,6,49.68,1,99,99,6,33.33,83.33,66.67,50,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,16.67,0,0,0,16.67,16.67,0,16.67,0,16.67,16.67,16.67,0,16.67,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
16256,What gets plugged into the item in the foreground?,"What gets plugged into the item in the foreground?
A. phone
B. hose
C. battery pack
D. television

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,hose,B,B,1,9,99,,77.17,,9,22.22,66.67,66.67,55.56,11.11,0,0,0,0,0,0,11.11,22.22,22.22,0,22.22,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,22.22,0,0,22.22,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
2917,What is the number written on top of the middle green bananas?,"What is the number written on top of the middle green bananas?
A. 500
B. 400
C. 300
D. 600

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,300,C,C,1,12,99,,39.59,,12,16.67,100,91.67,50,8.33,0,0,0,0,0,0,8.33,16.67,16.67,0,16.67,8.33,0,0,0,16.67,25,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16.67,8.33,0,0,0,8.33,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
5323,What is the woman looking down at?,"What is the woman looking down at?
A. plate
B. glass
C. shaker
D. phone

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,phone,D,D,1,7,99,97.11,24.32,,7,14.29,100,85.71,71.43,14.29,0,0,0,0,0,0,14.29,14.29,14.29,0,28.57,14.29,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
4235,What Sort of union are these people members of?,"What Sort of union are these people members of?
A. boating
B. airline
C. farm
D. concession workers

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,airline,B,B,1,9,66.04,99,,,9,11.11,100,55.56,55.56,22.22,0,0,0,0,0,0,22.22,11.11,0,0,22.22,11.11,0,0,0,11.11,0,0,22.22,22.22,0,0,22.22,0,22.22,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
7820,These animals are drinking from what type of water resource?,"These animals are drinking from what type of water resource?
A. puddle
B. watering hole
C. river
D. flood

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,watering hole,B,B,1,10,69.05,,7.03,,10,30,70,50,50,20,0,0,0,0,0,0,20,10,0,0,20,10,0,0,0,10,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
15476,What is under the umbrella?,"What is under the umbrella?
A. old man
B. chairs
C. babies
D. pumpkin

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,chairs,B,B,1,5,89.52,,63.35,,5,20,80,80,80,20,0,0,0,0,0,0,20,20,20,0,20,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0
4505,What would normally be stored in these cases?,"What would normally be stored in these cases?
A. cleaning supplies
B. clothes
C. water
D. dishes

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,clothes,B,B,1,8,1,,1,,8,12.5,75,75,75,25,0,0,0,0,0,0,25,12.5,0,0,12.5,25,12.5,0,0,25,0,0,0,0,0,0,25,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
6625,When was this teams ballpark built?,"When was this teams ballpark built?
A. 1911
B. 1945
C. 1936
D. 1950

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,1911,A,C,1,6,1,98.75,39.59,,6,16.67,66.67,50,50,16.67,0,0,0,0,0,0,16.67,16.67,0,0,0,16.67,16.67,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
7498,What is the green thing leaning on the sandwich on the right side?,"What is the green thing leaning on the sandwich on the right side?
A. fascicle
B. umbel
C. branch
D. stem

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,fascicle,A,B,1,13,99,,30.98,,13,15.38,100,69.23,61.54,15.38,0,0,0,0,0,0,15.38,23.08,23.08,0,15.38,7.69,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,23.08,0,0,15.38,7.69,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
14819,What is the woman eating the donut wearing?,"What is the woman eating the donut wearing?
A. crown
B. scarf
C. hat
D. armor

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,scarf,B,B,1,8,89.52,94.84,,,8,12.5,100,75,50,12.5,0,0,0,0,0,0,12.5,25,25,0,0,12.5,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
1959,Why is the girl hunched over in bed?,"Why is the girl hunched over in bed?
A. feels amused
B. feels energized
C. feels embarrassed
D. feels outgoing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,feels embarrassed,C,C,1,8,98.55,94.84,89.39,,8,12.5,87.5,62.5,62.5,0,0,0,0,0,0,0,0,12.5,12.5,0,25,12.5,12.5,0,0,12.5,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
10561,How does the woman know the girl?,"How does the woman know the girl?
A. mother
B. teacher
C. coach
D. doctor

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,mother,A,A,1,7,89.52,99,97.09,,7,0,100,71.43,57.14,0,0,0,0,0,0,0,0,28.57,28.57,0,0,14.29,14.29,0,0,28.57,0,0,0,0,0,0,28.57,0,28.57,28.57,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,28.57,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
7438,What year did the biker's state become a part of the union?,"What year did the biker's state become a part of the union?
A. 1875
B. 1835
C. 1861
D. 1822

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,1861,C,C,1,12,99,6.61,39.59,,12,0,83.33,75,50,8.33,0,0,0,0,0,0,8.33,25,25,0,8.33,8.33,0,0,0,16.67,0,16.67,8.33,8.33,0,0,16.67,0,16.67,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,16.67,0,0,8.33,0,8.33,0,0
15641,What kind of ball is the dog sitting next to on the concrete?,"What kind of ball is the dog sitting next to on the concrete?
A. soccer
B. tennis ball
C. basketball
D. baseball

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,basketball,C,C,1,13,99,7.93,98.89,,13,15.38,84.62,84.62,61.54,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,30.77,7.69,0,0,0,15.38,7.69,0,0,0,0,0,23.08,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,23.08,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
11312,In which season are the people traveling on the black horse drawn coach?,"In which season are the people traveling on the black horse drawn coach?
A. summer
B. spring
C. fall
D. winter

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.,winter,D,C,1,13,99,40.06,98.89,,13,7.69,84.62,61.54,46.15,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,15.38,7.69,0,0,0,15.38,7.69,0,7.69,0,0,7.69,7.69,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,23.08,0,7.69,7.69,7.69,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
3937,What was used to make the yellow coloring on the page?,"What was used to make the yellow coloring on the page?
A. pencil
B. highlighter
C. paint
D. crayon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,highlighter,B,B,1,11,99,,,,11,9.09,90.91,81.82,54.55,9.09,0,0,0,0,0,0,9.09,18.18,18.18,0,18.18,9.09,0,0,0,27.27,9.09,0,0,0,0,0,18.18,0,18.18,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,18.18,0,0,0,18.18,0,0,0,18.18,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
